"","Year","Period","State","State.ANSI","Commodity","b1","b2","Domain1","Value","Domain","Domain_value"
"8",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",300," BORAX DECAHYDRATE =",11102
"14",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",400," CYFLUFENAMID =",555550
"16",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",900," DIFENOCONAZOLE =",128847
"35",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," FUNGICIDE",600," TETRACONAZOLE =",120603
"42",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," HERBICIDE",200," CARFENTRAZONE ETHYL =",128712
"53",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",500," ABAMECTIN =",122804
"56",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",800," AZADIRACHTIN =",121701
"70",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",900," CYANTRANILIPROLE =",90098
"75",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",400," FENPYROXIMATE =",129131
"89",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",200," PYRETHRINS =",69001
"91",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",100," PYRIPROXYFEN =",129032
"94",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," INSECTICIDE",600," SPINOSAD =",110003
"111",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," OTHER",100," IRON PHOSPHATE =",34903
"118",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB"," OTHER",600," REYNOUTRIA SACHALINE =",55809
"121",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.205," AZOXYSTROBIN =",128810
"127",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.482," BLAD =",30006
"128",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.023," BORAX DECAHYDRATE =",11102
"129",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.337," BOSCALID =",128008
"131",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",1.739," CAPTAN =",81301
"134",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.023," CYFLUFENAMID =",555550
"135",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.32," CYPRODINIL =",288202
"136",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.114," DIFENOCONAZOLE =",128847
"137",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.623," FENHEXAMID =",90209
"138",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.213," FLUDIOXONIL =",71503
"139",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.113," FLUOPYRAM =",80302
"140",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.168," FLUXAPYROXAD =",138009
"141",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",3.997," FOSETYL AL =",123301
"143",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.493," MEFENOXAM =",113502
"145",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.106," MYCLOBUTANIL =",128857
"146",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.303," PENTHIOPYRAD =",90112
"147",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.073," POLYOXIN D ZINC SALT =",230000
"148",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",2.381," POTASSIUM BICARBON  =",73508
"149",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.112," PROPICONAZOLE =",122101
"150",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.169," PYRACLOSTROBIN =",99100
"151",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.51," PYRIMETHANIL =",288201
"152",2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," FUNGICIDE",0.097," QUINOLINE =",55459
